id;vmax;vmin;pcv0;pcv1;pcv2;pcv3;pcv4;prodesp;teif;iph;pinst;cfuga;cphid
1;792;120;892.97;0.062089;-0.00011041;0.0000001247;-5.5512E-11;0.008767;0.365;2.044;46;885.73;0.09
2;11;11;885.6586;0;0;0;0;0.008649;1.123;5.602;25;856.85;0.63
4;304;304;807.9131;0;0;0;0;0.00901;1.96;2.304;180;768.13;0.39
6;22950;5733;735.2458;0.00349658;-0.000000197437;6.917049E-12;-9.77365E-17;0.008996;1.271;1.939;912;672.2;0.8
7;4040;1540;641.7749;0.008088168;-0.000000369824;-7.110519E-11;9.123737E-15;0.008657;3.132;2.81;80;621.1;1.14
8;1423;1423;620.4571;0;0;0;0;0.00889;0.983;2.814;1050;558.4;0.9
9;450;450;557.4398;0;0;0;0;0.008944;4.471;15.13;424;512.84;0.5
10;480;480;512.0068;0;0;0;0;0.008996;0.548;2.054;210;494.91;0.17
11;2244;2244;494.3829;0;0;0;0;0.008996;3.387;3.538;380;466.63;0.17
12;1524;1524;466.4599;0;0;0;0;0.009071;7.812;1.362;320;444.05;0.23
14;555;51;816.3469;0.19769;-0.0005735699;0.0000009690375;-6.329368E-10;0.008558;0.145;5.034;41.2;751.19;0.87
15;14;14;664.4825;0;0;0;0;0.008602;0.066;3.049;108.8;576.55;0.73
16;25;25;572.4828;0;0;0;0;0.008599;0.306;2.577;32;546.61;0.19
17;6150;890;417.8938;0.0111714;-0.000002293769;2.909948E-10;-1.4826E-14;0.00907;1.133;2.118;1440;383.65;0.82
18;11025;5856;352.0298;0.004995856;-0.000000274164;7.09831E-12;0;0.008825;0.144;2.654;1396.2;327.18;0.75
20;1781.61;430.05;775.0463;0.02639726;-0.00001062692;0.000000001987292;0;0.009025;5.301;5.853;52.6;755.3;1.2
21;5199;1752;682.6038;0.0487297;-0.00001593879;0.0000000026708;-1.70707E-13;0.008762;0.22;1.106;212.6;674.94;0.69
22;9010;2186;704.9268;0.0123037;-0.00000171284;1.43866E-10;-4.85006E-15;0.008633;2.533;8.091;150;675.6;2.2
24;17725;4669;568.0898;0.014506;-0.000001202799;5.830299E-11;-1.1245E-15;0.00904;0.671;1.599;1192;520.72;0.98
25;12792;2412;752.1499;0.0122835;-0.00000125688;7.852509E-11;-1.97863E-15;0.008978;0.755;2.977;510;696.25;1.68
26;1120;974;684.7029;-0.004019;-0.000000793603;0.0000000278513;-1.42009E-11;0.008834;0.173;3.036;408;624.13;0.72
27;241.13;228.27;594.02;0.35164;-0.0021575;0.0000073589;-0.0000000095971;0.008995;0.587;2.016;240;565.14;1.84
28;879;878;527.3599;0.11044;-0.00018921;0.00000019327;-7.4543E-11;0.009077;2.382;2.154;210;518.28;0.52
29;3708;2936.6;789.3335;0.03966617;-0.00001496053;0.000000003071849;-2.366004E-13;0.008746;1.051;2.37;129.2;772.33;1.59
30;1500;470;545.8928;0.06470865;-0.0000323717;0.000000007393357;0;0.008845;4.327;2.342;375;516.68;0.69
31;17027;4573;471.1648;0.00728054;-0.000000560989;2.59776E-11;-4.845359E-16;0.008958;4.611;3.592;2082;434.51;0.75
32;460;460;433.3584;0;0;0;0;0.008568;1.494;4.152;34;401.23;0.59
33;12540;7000;358.3289;0.00861726;-0.0000008842659;5.293249E-11;-1.24196E-15;0.009104;1.134;5.581;1710;327.05;0.81
34;21060;8232;293.9248;0.00360059;-0.000000184615;5.87764E-12;-7.503619E-17;0.00865;0.907;3.69;704;281.08;0.54
37;3135;569;432.7839;0.0149645;-0.00000670742;0.00000000175977;-1.69823E-13;0.008845;0.121;7.77;140.8;427.66;0.41
38;544;544;427.2259;0;0;0;0;0.008333;0.363;6.918;143.1;404.62;0.43
39;985;985;403.8362;0;0;0;0;0.008438;0.225;7.989;131.4;382.84;0.41
40;7408;5280;369.6938;-0.0005249989;0.00000108299;-1.6016E-10;7.927737E-15;0.008798;0.169;4.156;264;357.95;0.37
42;2720;2720;357.7169;0;0;0;0;0.009087;0.126;2.851;347.4;326.66;0.43
43;13372;9923;293.2058;0.005496006;-0.000000392702;1.73305E-11;-3.101849E-16;0.008846;0.936;3.774;807.5;280.02;0.83
44;34432;25467;294.1809;0.00205514;-0.0000000566282;9.703115E-13;-6.69962E-18;0.008829;0.912;3.706;704;281.1;2.35
45;3354;3354;279.6819;0;0;0;0;0.008751;2.153;4.533;1551.2;258.48;0.63
46;14400;14400;239.17;0.002497;-0.00000012596;3.0481E-12;-2.570999E-17;0.008928;0.157;3.625;1540;237.66;0.43
47;7008;3843;542.5549;0.006367009;-0.000000675152;5.394289E-11;-1.89938E-15;0.008875;0.179;1.238;101;532.23;0.41
48;84;84;531.4909;0;0;0;0;0.009024;0.355;4.405;80;505.63;0.3
49;8795;5754;437.4719;0.0066313;-0.000000375179;1.06241E-11;0;0.008791;0.048;1.325;103.5;398.77;2.19
50;45;45;384.1715;0;0;0;0;0.008581;0.083;2.696;74;366.65;0.23
51;151;151;365.9388;0;0;0;0;0.009089;0.198;2.662;72;351.57;0.21
52;212;212;350.9478;0;0;0;0;0.009124;0.349;2.151;82.5;334.4;0.22
